year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
2004,Razali Suffian Koroh,,SETIA,557,4.757024511059869,182,PENSIANGAN,Sabah,0,11709
2004,Ronald Kiandee,BN,UMNO,0,0.0,183,BELURAN,Sabah,1,0
2004,Juslie Ajirol,BN,UMNO,13140,84.17141759016079,184,LIBARAN,Sabah,1,15611
2004,Raj Munni Sabu,BA,PKR,2471,15.828582409839216,184,LIBARAN,Sabah,0,15611
2004,Chong Hon Min,,IND,9538,52.151566515391764,186,SANDAKAN,Sabah,1,18289
2004,Liew Vui Keong,BN,LDP,8208,44.87943572639291,186,SANDAKAN,Sabah,0,18289
2004,Liew Teck Khen,,PASOK,543,2.9689977582153206,186,SANDAKAN,Sabah,0,18289
2004,Bung Moktar Radin,BN,UMNO,0,0.0,187,KINABATANGAN,Sabah,1,0
2004,Samsu Baharom Abdul Rahman,BN,UMNO,16613,73.90782098051429,188,SILAM,Sabah,1,22478
2004,Shamsuri Baharuddin,BA,PKR,5865,26.09217901948572,188,SILAM,Sabah,0,22478
2004,Mohd Shafie Apdal,BN,UMNO,13970,76.439045743051,189,SEMPORNA,Sabah,1,18276
2004,Madjalis Lais,,IND,1704,9.32370321733421,189,SEMPORNA,Sabah,0,18276
2004,Aldani Landi,BA,PKR,1162,6.358065222149267,189,SEMPORNA,Sabah,0,18276
2004,Noraidah Abdul Salleh,,IND,764,4.180345808710878,189,SEMPORNA,Sabah,0,18276
2004,Mohd Abdul Wahab Pg Abdullah,BA,PKR,676,3.698840008754651,189,SEMPORNA,Sabah,0,18276
2004,Shim Paw Fatt,BN,SAPP,0,0.0,190,TAWAU,Sabah,1,0
2004,Abdul Ghapur Salleh,BN,UMNO,0,0.0,191,KALABAKAN,Sabah,1,0
2004,Wan Junaidi Tuanku Jaafar,BN,PBB,12590,86.11491108071135,193,SANTUBONG,Sarawak,1,14620
2004,Idris Bohari,,IND,2030,13.885088919288645,193,SANTUBONG,Sarawak,0,14620
2004,Yong Khoon Seng,BN,SUPP,21155,61.178750108447325,196,STAMPIN,Sarawak,1,34579
2004,Voon Lee Shan,,DAP,13424,38.821249891552675,196,STAMPIN,Sarawak,0,34579
2004,James Dawos Mamit,BN,PBB,15368,71.02319992605601,198,MAMBONG,Sarawak,1,21638
2004,Mangan Ngandok,,STAR,6270,28.976800073943988,198,MAMBONG,Sarawak,0,21638
2004,Richard Riot Jaem,BN,SUPP,13960,76.59807956104252,199,SERIAN,Sarawak,1,18225
2004,Henry Ginai Langgie,,IND,4265,23.401920438957475,199,SERIAN,Sarawak,0,18225
2004,Douglas Uggah Embas,BN,PBB,11618,85.97646710575002,204,BETONG,Sarawak,1,13513
2004,Abang Zulkifli Abang Engkeh,,SNAP,1895,14.023532894249982,204,BETONG,Sarawak,0,13513
