,name,number_of_voters,panel_code,panel_name,tab,state_region
27,Juwairiya Zulkifli (PH - PKR),"41.6% (11,050)",N10,BUKIT MELAWATI (P96),state,Selangor
28,Jakiran Jacomah (BN - UMNO),"31.4% (8,355)",N10,BUKIT MELAWATI (P96),state,Selangor
29,Muhmmad Rashid Muhmmad Kassim (PAS),"12.3% (3,261)",N10,BUKIT MELAWATI (P96),state,Selangor
30,Idris Ahmad (PH - PKR),"38.6% (8,914)",N11,IJOK (P96),state,Selangor
31,Parthiban Karuppiah (BN - MIC),"29.5% (6,800)",N11,IJOK (P96),state,Selangor
32,Jefri Mejan (PAS),"17.1% (3,942)",N11,IJOK (P96),state,Selangor
33,Kumaran Tamil Dassen (PRM),0.3% (76),N11,IJOK (P96),state,Selangor
34,Mohd Shaid Rosli (PH - PKR),"35.9% (7,087)",N12,JERAM (P96),state,Selangor
35,Zahar Azlan Arifin (BN - UMNO),"29.9% (5,896)",N12,JERAM (P96),state,Selangor
36,Mohd Noor Mohd Shahar (PAS),"21.9% (4,326)",N12,JERAM (P96),state,Selangor
37,Sallehudin Amiruddin (PH - PPBM),"37.2% (9,845)",N13,KUANG (P97),state,Selangor
38,Abdul Shukur Idrus (BN - UMNO),"26.4% (6,985)",N13,KUANG (P97),state,Selangor
39,Mohd Fauzan Madzlan (PAS),"21.4% (5,672)",N13,KUANG (P97),state,Selangor
40,Mohd Rafie Mohammad Arif (PRM),0.2% (44),N13,KUANG (P97),state,Selangor
41,Chua Wei Kiat (PH - PKR),"64.9% (29,946)",N14,RAWANG (P97),state,Selangor
42,Chan Wun Hoong (BN - MCA),"13.2% (6,086)",N14,RAWANG (P97),state,Selangor
43,Kong Tuck Wah (PAS),"4.9% (2,259)",N14,RAWANG (P97),state,Selangor
44,Azman Mohd Noor (IND),1.4% (644),N14,RAWANG (P97),state,Selangor
45,Mohd Sany Hamzan (PH - AMANAH),"42.1% (18,362)",N15,TAMAN TEMPLER (P97),state,Selangor
46,Zaidy Abdul Talib (PAS),"24.0% (10,459)",N15,TAMAN TEMPLER (P97),state,Selangor
47,Md Nasir Ibrahim (BN - UMNO),"17.4% (7,580)",N15,TAMAN TEMPLER (P97),state,Selangor
48,Rajandran Batumalai (PAP),0.2% (108),N15,TAMAN TEMPLER (P97),state,Selangor
49,Koh Swe Yong (PRM),0.2% (82),N15,TAMAN TEMPLER (P97),state,Selangor
50,Amirudin Shari (PH - PKR),"51.0% (17,446)",N16,SUNGAI TUA (P98),state,Selangor
51,Rawisandran Narayanan (BN - MIC),"17.8% (6,072)",N16,SUNGAI TUA (P98),state,Selangor
52,Mohammad Ibrahim (PAS),"13.3% (4,530)",N16,SUNGAI TUA (P98),state,Selangor
53,Badrul Hisam Md Zin (IND),0.8% (268),N16,SUNGAI TUA (P98),state,Selangor
54,Muhammad Hilman Idham (PH - PKR),"43.6% (24,157)",N17,GOMBAK SETIA (P98),state,Selangor
55,Hasbullah Mohd Ridzwan (PAS),"21.2% (11,758)",N17,GOMBAK SETIA (P98),state,Selangor
56,Megat Zulkarnain Omardin (BN - UMNO),"20.0% (11,113)",N17,GOMBAK SETIA (P98),state,Selangor
57,Saari Sungib (PH - AMANAH),"50.0% (25,746)",N18,HULU KELANG (P98),state,Selangor
58,Ismail Ahmad (BN - UMNO),"20.2% (10,397)",N18,HULU KELANG (P98),state,Selangor
59,Kamalulhysham Mohd Suhut (PAS),"14.7% (7,573)",N18,HULU KELANG (P98),state,Selangor
60,Mohamed Azmin Ali (PH - PKR),"66.4% (30,892)",N19,BUKIT ANTARABANGSA (P99),state,Selangor
61,Salwa Yunus (BN - UMNO),"11.6% (5,380)",N19,BUKIT ANTARABANGSA (P99),state,Selangor
62,Sharifah Haslizah Syed Ariffin (PAS),"5.0% (2,311)",N19,BUKIT ANTARABANGSA (P99),state,Selangor
63,Ahmad Kamarudin (PRM),0.2% (116),N19,BUKIT ANTARABANGSA (P99),state,Selangor
64,Mohamed Azwan Ali (IND),0.2% (90),N19,BUKIT ANTARABANGSA (P99),state,Selangor
65,Haniza Mohamed Talha (PH - PKR),"49.8% (22,512)",N20,LEMBAH JAYA (P99),state,Selangor
66,Muhamad Nizam Shith (BN - UMNO),"17.1% (7,722)",N20,LEMBAH JAYA (P99),state,Selangor
67,Khasim Abdul Aziz (PAS),"16.3% (7,358)",N20,LEMBAH JAYA (P99),state,Selangor
68,Norizwan Mohamed (PRM),0.4% (177),N20,LEMBAH JAYA (P99),state,Selangor
69,Izham Hashim (PH - AMANAH),"50.8% (24,914)",N21,PANDAN INDAH (P100),state,Selangor
70,Mohd Haniff Koslan (BN - UMNO),"17.4% (8,528)",N21,PANDAN INDAH (P100),state,Selangor
71,Iskandar Abdul Samad (PAS),"15.3% (7,517)",N21,PANDAN INDAH (P100),state,Selangor
72,Lai Wai Chong (PH - DAP),"65.9% (34,453)",N22,TERATAI (P100),state,Selangor
73,Mohd Irman Abdul Wahab (PAS),"9.6% (5,028)",N22,TERATAI (P100),state,Selangor
74,Liew Pok Boon (BN - GERAKAN),"9.2% (4,784)",N22,TERATAI (P100),state,Selangor
75,Lee Ying Ha (PRM),1.0% (529),N22,TERATAI (P100),state,Selangor
76,Edry Faizal Eddy Yusof (PH - DAP),"45.5% (22,325)",N23,DUSUN TUA (P101),state,Selangor
77,Mohd Zin Isa (BN - UMNO),"24.2% (11,903)",N23,DUSUN TUA (P101),state,Selangor
78,Razaly Hassan (PAS),"15.8% (7,771)",N23,DUSUN TUA (P101),state,Selangor
79,Bakhtiar Mohd Nor (PH - PPBM),"44.0% (23,428)",N24,SEMENYIH (P101),state,Selangor
80,Johan Abd Aziz (BN - UMNO),"27.2% (14,464)",N24,SEMENYIH (P101),state,Selangor
81,Mad Shahmidur Mat Kosim (PAS),"13.1% (6,966)",N24,SEMENYIH (P101),state,Selangor
82,Arutchelvan Subramaniams (PSM),"2.4% (1,293)",N24,SEMENYIH (P101),state,Selangor
83,Hee Loy Sian (PH - PKR),"62.8% (39,055)",N25,KAJANG (P102),state,Selangor
84,Zaiton Ahmad (PAS),"13.4% (8,300)",N25,KAJANG (P102),state,Selangor
85,Teh Yeow Meng (BN - MCA),"11.4% (7,097)",N25,KAJANG (P102),state,Selangor
