,parCode,dunCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,dunName,zhDunName,voters,incumbentName,incumbentCoalition,incumbentParty
76,P079,N03,07903,Pahang,umno,bn,1244,Lipis,立卑,Padang Tengku,巴登东姑,19407,Mustapa Long,bn,umno
77,P079,N04,07904,Pahang,mca,bn,202,Lipis,立卑,Cheka,积卡,16822,Lee Ah Wong,bn,mca
78,P079,N05,07905,Pahang,umno,bn,340,Lipis,立卑,Benta,文打,10895,Mohd Soffi Abd Razak,bn,umno
79,P080,N06,08006,Pahang,umno,bn,4320,Raub,劳勿,Batu Talam,峇都达南,19683,Abdul Aziz Mat Kiram,bn,umno
80,P080,N07,08007,Pahang,dap,ph,9953,Raub,劳勿,Tras,都赖,38329,Chow Yu Hui,ph,dap
81,P080,N08,08008,Pahang,umno,bn,3832,Raub,劳勿,Dong,冬,17052,Shahiruddin Ab Moin,bn,umno
82,P081,N09,08109,Pahang,pas,gagasan,69,Jerantut,而连突,Tahan,大汉,20895,Mohd Zakhwan Ahmad Badarddin,pn,pas
83,P081,N10,08110,Pahang,pas,gagasan,1456,Jerantut,而连突,Damak,南唛,34967,Zuridan Mohd Daud,pn,pas
84,P081,N11,08111,Pahang,umno,bn,587,Jerantut,而连突,Pulau Tawar,浮罗大华,31189,Nazri Ngah,bn,umno
85,P082,N12,08212,Pahang,pas,gagasan,1305,Indera Mahkota,英迪拉马哥打,Beserah,米昔拉,59370,Andansura Rabu,pn,pas
86,P082,N13,08213,Pahang,pkr,ph,5511,Indera Mahkota,英迪拉马哥打,Semambu,士满慕,61179,Lee Chean Chung,ph,pkr
87,P083,N14,08314,Pahang,pkr,ph,7725,Kuantan,关丹,Teruntum,德伦敦,30854,Sim Chon Siang,ph,pkr
88,P083,N15,08315,Pahang,pas,gagasan,1339,Kuantan,关丹,Tanjung Lumpur,丹绒隆坡,38185,Rosli Abdul Jabar,pn,pas
89,P083,N16,08316,Pahang,umno,bn,2165,Kuantan,关丹,Inderapura,英迪拉布拉,18558,Shafik Fauzan Sharif,bn,umno
90,P084,N17,08417,Pahang,umno,bn,1968,Paya Besar,巴耶勿刹,Sungai Lembing,林明,19130,Md Sohaimi Mohamed Shah,bn,umno
91,P084,N18,08418,Pahang,umno,bn,2779,Paya Besar,巴耶勿刹,Lepar,乐巴,25728,Abdul Rahim Muda,bn,umno
92,P084,N19,08419,Pahang,pas,gagasan,135,Paya Besar,巴耶勿刹,Panching,班珍,34886,Mohd Tarmizi Yahya,pn,pas
93,P085,N20,08520,Pahang,umno,bn,2334,Pekan,北根,Pulau Manis,浮罗马尼,30113,Khairuddin Mahmud,bn,umno
94,P085,N21,08521,Pahang,umno,bn,7182,Pekan,北根,Peramu Jaya,柏拉姆再也,41915,Sh Mohamed Puzi Sh Ali,bn,umno
95,P085,N22,08522,Pahang,umno,bn,5720,Pekan,北根,Bebar,柏巴,21294,Mohd Fakhruddin Mohd Arif,bn,umno
96,P085,N23,08523,Pahang,umno,bn,4622,Pekan,北根,Chini,珍妮,26121,Mohd Sharim Md Zain,bn,umno
97,P086,N24,08624,Pahang,pas,gagasan,272,Maran,马兰,Luit,鐳,16279,Mohd Sofian Abd Jalil,pn,pas
98,P086,N25,08625,Pahang,umno,bn,2039,Maran,马兰,Kuala Sentul,瓜拉先都,17434,Shahaniza Shamsuddin,bn,umno
99,P086,N26,08626,Pahang,pas,gagasan,514,Maran,马兰,Chenor,珍諾,19415,Mujibur Rahman Ishak,pn,pas
100,P087,N27,08727,Pahang,umno,bn,1713,Kuala Krau,瓜拉吉挠,Jenderak,贞德腊,13994,Mohamed Jaafar,bn,umno
101,P087,N28,08728,Pahang,umno,bn,1934,Kuala Krau,瓜拉吉挠,Kerdau,吉道,15184,Syed Ibrahim Syed Ahmad,bn,umno
102,P087,N29,08729,Pahang,pas,gagasan,1813,Kuala Krau,瓜拉吉挠,Jengka,增卡,31359,Shahril Azman Abd Halim,pn,pas
103,P088,N30,08830,Pahang,dap,ph,5829,Temerloh,淡马鲁,Mentakab,文德甲,37269,Woo Chee Wan,ph,dap
104,P088,N31,08831,Pahang,umno,bn,3725,Temerloh,淡马鲁,Lanchang,联增,32774,Mohd Sharkar Shamsudin,bn,umno
105,P088,N32,08832,Pahang,umno,bn,474,Temerloh,淡马鲁,Kuala Semantan,瓜拉士曼丹,36786,Nor Azmi Mat Ludin,bn,umno
106,P089,N36,08936,Pahang,umno,bn,2312,Bentong,文冬,Pelangai,柏朗埃,16371,Adnan Yaakob,bn,umno
107,P089,N34,08934,Pahang,dap,ph,3710,Bentong,文冬,Ketari,吉打里,30758,Syefura Othman,ph,dap
108,P089,N35,08935,Pahang,dap,ph,495,Bentong,文冬,Sabai,沙拜,15643,Kamache Doray Rajoo,ph,dap
109,P089,N33,08933,Pahang,dap,ph,3739,Bentong,文冬,Bilut,美律,24286,Lee Chin Chen,ph,dap
110,P090,N37,09037,Pahang,umno,bn,3295,Bera,百乐,Guai,古艾,24412,Norol Azali Sulaiman,bn,umno
111,P090,N38,09038,Pahang,dap,ph,6454,Bera,百乐,Triang,直凉,25891,Leong Yu Man,ph,dap
112,P090,N39,09039,Pahang,umno,bn,4618,Bera,百乐,Kemayan,金马扬,27366,Mohd Fadil Osman,bn,umno
113,P091,N40,09140,Pahang,umno,bn,2478,Rompin,云冰,Bukit Ibam,武吉依班,31003,Samsiah Arshad,bn,umno
114,P091,N41,09141,Pahang,umno,bn,4840,Rompin,云冰,Muadzam Shah,姆阿占沙,29663,Razali Kassim,bn,umno
115,P091,N42,09142,Pahang,umno,bn,1280,Rompin,云冰,Tioman,刁曼,28465,Mohd Johari Hussain,bn,umno
116,P189,N66,18966,Sabah,warisan,ph allies,7851,Semporna,仙本那,Bugaya,布加雅,32761,Vacant,,vacant
