,coalition,party,logo,name,gender,codeId,state,parName
221,pn,bersatu,pn,Selvam Kunjambu,L,07145,Perak,Gopeng
222,bn,mca,bn,Lee Wai Yin,L,07145,Perak,Gopeng
223,,warisan,warisan,Hooi Mi Suet,P,07145,Perak,Gopeng
224,ph,pkr,ph,Wong Chai Yi,P,07145,Perak,Gopeng
225,,warisan,warisan,Low Leong Sin,L,07146,Perak,Gopeng
226,gta,pejuang,pejuang,Aswannudin Hariffudin,L,07146,Perak,Gopeng
227,ph,pkr,ph,Ng Shy Ching,P,07146,Perak,Gopeng
228,bn,mca,bn,Liew Yee Lin,P,07146,Perak,Gopeng
229,pn,bersatu,pn,Ahmad Ishak,L,07146,Perak,Gopeng
230,pn,bersatu,pn,Mohd Yunus Mohd Yusop,L,07247,Perak,Tapah
231,bn,mca,bn,Choong Shin Heng,L,07247,Perak,Tapah
232,,warisan,warisan,Ahmad Tarmizi Mohd Ghazali,L,07247,Perak,Tapah
233,,ind,ind,Atan Katering,L,07247,Perak,Tapah
234,gta,pejuang,pejuang,Teratai Bah Arom,L,07247,Perak,Tapah
235,,ind,ind,Teratai Bah Arom,P,07247,Perak,Tapah
236,ph,pkr,ph,Atyrah Hanim Razali,P,07247,Perak,Tapah
237,bn,umno,bn,Isham Shahruddin,L,07248,Perak,Tapah
238,ph,amanah,ph,Mohd Nazri Hashim,L,07248,Perak,Tapah
239,pn,pas,pn,Muhammad Noor Farid Zainal,L,07248,Perak,Tapah
240,gta,pejuang,pejuang,Maziah Salim,P,07248,Perak,Tapah
241,,psm,psm,Ks Bawani,P,07248,Perak,Tapah
242,pn,bersatu,pn,Zainol Fadzi Paharudin,L,07349,Perak,Pasir Salak
243,ph,pkr,ph,Mohamad Maharani Md Tasi,L,07349,Perak,Pasir Salak
244,bn,umno,bn,Ibrahim Katop,L,07349,Perak,Pasir Salak
245,pn,pas,pn,Zafarulazlan Zan,L,07350,Perak,Pasir Salak
246,bn,umno,bn,Wan Norashikin Wan Noordin,P,07350,Perak,Pasir Salak
247,gta,putra,pejuang,Mohd Safian Sauripandak Abdul Samad,L,07350,Perak,Pasir Salak
248,ph,amanah,ph,Mohd Amin Man,L,07350,Perak,Pasir Salak
249,bn,umno,bn,Mohd Rafiq Mohd,L,07451,Perak,Lumut
250,,warisan,warisan,Nur Inderasyawalis Ahmad Mukhtar,L,07451,Perak,Lumut
251,ph,amanah,ph,Yahaya Mat Nor,L,07451,Perak,Lumut
252,pn,pas,pn,Rosli Abd Rahman,L,07451,Perak,Lumut
253,gta,putra,pejuang,Mohd Norazlee Mohd Alias,L,07451,Perak,Lumut
254,bn,umno,bn,Norzaman Man,L,07452,Perak,Lumut
255,gta,putra,pejuang,Mohd Azlan Haji Suhaimi,L,07452,Perak,Lumut
256,,warisan,warisan,Yahaya Ahmad,L,07452,Perak,Lumut
257,pn,bersatu,pn,Norhaslinda Zakaria,P,07452,Perak,Lumut
258,ph,pkr,ph,Abdul Razak Nazri,L,07452,Perak,Lumut
259,ph,amanah,ph,Ahmad Munzirie Ahmad Kabir,L,07553,Perak,Bagan Datuk
260,bn,umno,bn,Shahrul Zaman Yahaya,L,07553,Perak,Bagan Datuk
261,pn,pas,pn,Mohd Mokheri Jalil,L,07553,Perak,Bagan Datuk
262,ph,pkr,ph,Wasanthee Sinnasamy,P,07554,Perak,Bagan Datuk
263,bn,umno,bn,Khairuddin Tarmizi,L,07554,Perak,Bagan Datuk
264,pn,bersatu,pn,Khairun Nizam Marsom,L,07554,Perak,Bagan Datuk
265,bn,mca,bn,Kong Sun Chin,L,07655,Perak,Teluk Intan
266,pn,pas,pn,Suriyanarayanan Sannasy Naidu,L,07655,Perak,Teluk Intan
267,ph,dap,ph,Woo Koh Leong,L,07655,Perak,Teluk Intan
268,bn,umno,bn,Mohd Azhar Jamaluddin,L,07656,Perak,Teluk Intan
269,pn,bersatu,pn,Nadziruddin Mohamed Bandi,L,07656,Perak,Teluk Intan
270,ph,dap,ph,Badrul Hisham Badarudin,L,07656,Perak,Teluk Intan
271,gta,putra,pejuang,Muhammad Amirul Mahfuz Abdullah,L,07656,Perak,Teluk Intan
272,ph,dap,ph,Sivanesan Achalingam,L,07757,Perak,Tanjong Malim
273,,ind,ind,Cikgu Mahhadee,L,07757,Perak,Tanjong Malim
274,pn,pas,pn,Thilak Raj Gunasekaran,L,07757,Perak,Tanjong Malim
275,bn,mic,bn,V Elango,L,07757,Perak,Tanjong Malim
276,pn,pas,pn,Muhammad Zulfadli Zainal,L,07758,Perak,Tanjong Malim
277,bn,umno,bn,Mohd Zaidi Aziz,L,07758,Perak,Tanjong Malim
278,gta,pejuang,pejuang,Meor Azim,L,07758,Perak,Tanjong Malim
279,ph,pkr,ph,Mohd Syahid Mohd Zaini,L,07758,Perak,Tanjong Malim
280,ph,amanah,ph,Khairol Najib Hashim,L,07759,Perak,Tanjong Malim
281,gta,putra,pejuang,Hazvee Hafiz,L,07759,Perak,Tanjong Malim
282,bn,umno,bn,Salina Samsudin,P,07759,Perak,Tanjong Malim
283,pn,bersatu,pn,Mohd Amran Ibrahim,L,07759,Perak,Tanjong Malim
284,ph,dap,ph,Ho Chi Yang,L,07801,Pahang,Cameron Highlands
285,bn,mca,bn,Wong Yap Wah,L,07801,Pahang,Cameron Highlands
286,pn,gerakan,pn,Lai Chii Wen,L,07801,Pahang,Cameron Highlands
287,ph,pkr,ph,Ismail Mohd Hussin,L,07802,Pahang,Cameron Highlands
288,bn,umno,bn,Wan Rosdy Wan Ismail,L,07802,Pahang,Cameron Highlands
289,pn,bersatu,pn,Abdul Rasid Mohamed Ali,L,07802,Pahang,Cameron Highlands
290,ph,amanah,ph,Ruzi @ Nata Yusuff,L,07903,Pahang,Lipis
291,bn,umno,bn,Mustapa Long,L,07903,Pahang,Lipis
292,gta,pejuang,pejuang,Mohd Rostam Mustapha,L,07903,Pahang,Lipis
293,pn,pas,pn,Muhamad Khaider Kamil,L,07903,Pahang,Lipis
294,pn,pas,pn,Tuan Ibrahim Tuan Man,L,07904,Pahang,Lipis
295,ph,pkr,ph,Rasid Muhamad,L,07904,Pahang,Lipis
296,gta,pejuang,pejuang,Aishaton Abu Bakar,P,07904,Pahang,Lipis
297,bn,mca,bn,Ho Fong Mee,L,07904,Pahang,Lipis
298,ph,pkr,ph,Rizal Jamin,L,07905,Pahang,Lipis
299,bn,umno,bn,Mohd Soffi Abd Razak,L,07905,Pahang,Lipis
300,pn,bersatu,pn,Muhammad Fareed Tarmizi,L,07905,Pahang,Lipis
301,bn,umno,bn,Abdul Aziz Mat Kiram,L,08006,Pahang,Raub
302,ph,pkr,ph,Shahuddin Abdul Rahman,L,08006,Pahang,Raub
303,pn,bersatu,pn,Ahmad Sabri Mat Dui,L,08006,Pahang,Raub
304,ph,dap,ph,Tengku Zulpuri Shah Raja Puji,L,08007,Pahang,Raub
305,pn,gerakan,pn,Amirul Mukminin Kuek Abdullah,L,08007,Pahang,Raub
306,bn,mca,bn,Lim Teck Hoe,L,08007,Pahang,Raub
307,gta,putra,pejuang,Mohd Tahir Haji Kassim,L,08007,Pahang,Raub
308,bn,umno,bn,Fadzli Mohamad Kamal,L,08008,Pahang,Raub
309,ph,amanah,ph,Mohd Abd Jawaad Abd Ghafar @ Ramzin,L,08008,Pahang,Raub
310,pn,pas,pn,Tengku Shah Amir Tengku Perang,L,08008,Pahang,Raub
311,ph,amanah,ph,Mohd Abd Talib Mohd Tahar,L,08109,Pahang,Jerantut
312,bn,umno,bn,Faezah Ishak,P,08109,Pahang,Jerantut
313,pn,pas,pn,Mohd Zakhwan Ahmad Badarddin,L,08109,Pahang,Jerantut
314,bn,umno,bn,Muhamad Fasal Jamlus,L,08110,Pahang,Jerantut
315,ph,pkr,ph,Mohamad Rafly Mohd Satar,L,08110,Pahang,Jerantut
316,,ind,ind,Izzuddin Ismail,L,08110,Pahang,Jerantut
317,pn,pas,pn,Zuridan Mohd Daud,L,08110,Pahang,Jerantut
318,ph,amanah,ph,Norani Muhd @ Mohd Arshad,L,08111,Pahang,Jerantut
319,gta,pejuang,pejuang,Mohd Rosidi Hassan,L,08111,Pahang,Jerantut
320,,ind,ind,Ridzuan Mansor,L,08111,Pahang,Jerantut
321,pn,pas,pn,Yohanis Ahmad,L,08111,Pahang,Jerantut
322,bn,umno,bn,Nazri Ngah,L,08111,Pahang,Jerantut
323,ph,amanah,ph,Zulkifli Mohamed,L,08212,Pahang,Indera Mahkota
324,,ind,ind,Joseph Tang,L,08212,Pahang,Indera Mahkota
325,bn,umno,bn,Mustaffar Kamal Ab Hamid,L,08212,Pahang,Indera Mahkota
326,pn,pas,pn,Andansura Rabu,L,08212,Pahang,Indera Mahkota
327,gta,pejuang,pejuang,Mohd Pauzi Taib,L,08212,Pahang,Indera Mahkota
328,ph,pkr,ph,Chan Chun Kuang,L,08213,Pahang,Indera Mahkota
329,bn,umno,bn,Khairul Hisham Omar,L,08213,Pahang,Indera Mahkota
330,pn,pas,pn,Zulfadhli Zakariah,L,08213,Pahang,Indera Mahkota
331,gta,pejuang,pejuang,Rashidah Abdul Rahman,P,08213,Pahang,Indera Mahkota
332,bn,mca,bn,Tee Choon Ser,P,08314,Pahang,Kuantan
333,pn,gerakan,pn,Yap Kim Heng,L,08314,Pahang,Kuantan
334,gta,pejuang,pejuang,Khairul Afifie Abdullah,L,08314,Pahang,Kuantan
335,ph,pkr,ph,Sim Chon Siang,L,08314,Pahang,Kuantan
336,pn,pas,pn,Rosli Abdul Jabar,L,08315,Pahang,Kuantan
337,bn,umno,bn,Nara @ Nikman Nordin,L,08315,Pahang,Kuantan
338,gta,pejuang,pejuang,Ab 'alim Ruslam Ahmad,L,08315,Pahang,Kuantan
339,ph,amanah,ph,Sabrina Md Yusuff,P,08315,Pahang,Kuantan
340,gta,pejuang,pejuang,Norashikin Ismail,P,08316,Pahang,Kuantan
341,bn,umno,bn,Shafik Fauzan Sharif,L,08316,Pahang,Kuantan
342,ph,pkr,ph,Fakhrul Anuar Zulkawi,L,08316,Pahang,Kuantan
343,pn,pas,pn,Mohd Hafizal Mohamed Shah,L,08316,Pahang,Kuantan
