,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,coal_or_party
440,2022,WAN AZIZAH WAN ISMAIL,PH,PKR,0,0,124,BANDAR TUN RAZAK,KL,0,0,M,0,PH
441,2022,CHEW YIN KEEN,BN,MCA,0,0,124,BANDAR TUN RAZAK,KL,0,0,F,0,BN
442,2022,KAMARUDDIN JAAFAR,PN,BERSATU,0,0,124,BANDAR TUN RAZAK,KL,0,0,F,0,PN
443,2022,IDRIS AHMAD,PN,PAS,0,0,058,BAGAN SERAI,Perak,0,0,F,0,PAS
444,2022,AHMAD LUQMAN AHMAD YAHAYA,GTA,PEJUANG,0,0,058,BAGAN SERAI,Perak,0,0,F,0,PEJUANG
445,2022,ZUL HELMI GHAZALI,BN,UMNO,0,0,058,BAGAN SERAI,Perak,0,0,F,0,BN
446,2022,SITI AISHAH SHAIK ISMAIL,PH,PKR,0,0,058,BAGAN SERAI,Perak,0,0,M,0,PH
447,2022,RAZALI IBRAHIM,BN,UMNO,0,0,143,PAGOH,Johor,0,0,F,0,BN
448,2022,MUHYIDDIN YASSIN,PN,BERSATU,0,0,143,PAGOH,Johor,0,0,F,0,PN
449,2022,ISKANDAR SHAH ABD RAHMAN,PH,PKR,0,0,143,PAGOH,Johor,0,0,F,0,PH
450,2022,AHMAD JAZLAN YAAKUB,BN,UMNO,0,0,029,MACHANG,Kelantan,0,0,F,0,BN
451,2022,MUHAMMAD SEMAN,GTA,PUTRA,0,0,029,MACHANG,Kelantan,0,0,F,0,PUTRA
452,2022,WAN AHMAD FAYHSAL WAN AHMAD KAMAL,PN,BERSATU,0,0,029,MACHANG,Kelantan,0,0,F,0,PN
453,2022,ROSLI ALLANI ABDUL KADIR,PH,PKR,0,0,029,MACHANG,Kelantan,0,0,F,0,PH
454,2022,NEOW CHOO SEONG,BN,MCA,0,0,060,TAIPING,Perak,0,0,F,0,BN
455,2022,MOHGANAN P MANIKAM,,IND,0,0,060,TAIPING,Perak,0,0,F,0,BEBAS
456,2022,WONG KAH WOH,PH,DAP,0,0,060,TAIPING,Perak,0,0,F,0,DAP
457,2022,SEE TEAN SENG,PN,GERAKAN,0,0,060,TAIPING,Perak,0,0,F,0,PN
458,2022,RAMA,,IND,0,0,060,TAIPING,Perak,0,0,F,0,BEBAS
459,2022,LEOW THYE YIH,,IND,0,0,060,TAIPING,Perak,0,0,F,0,BEBAS
460,2022,ABDUL HADI AWANG,PN,PAS,0,0,037,MARANG,Terengganu,0,0,F,0,PAS
461,2022,JASMIRA OTHMAN,BN,UMNO,0,0,037,MARANG,Terengganu,0,0,F,0,BN
462,2022,ZARAWI SULONG,GTA,PUTRA,0,0,037,MARANG,Terengganu,0,0,F,0,PUTRA
463,2022,AZHAR AB SHUKUR,PH,AMANAH,0,0,037,MARANG,Terengganu,0,0,F,0,PH
464,2022,WEE KA SIONG,BN,MCA,0,0,148,AYER HITAM,Johor,0,0,F,0,BN
465,2022,SHEIKH UMAR BAGHARIB ALI,PH,DAP,0,0,148,AYER HITAM,Johor,0,0,F,0,DAP
466,2022,MUHAMMAD SYAFIQ A AZIZ,PN,BERSATU,0,0,148,AYER HITAM,Johor,0,0,F,0,PN
467,2022,ASMAWI HARUN,PN,BERSATU,0,0,090,BERA,Pahang,0,0,F,0,PN
468,2022,ISMAIL SABRI YAAKOB,BN,UMNO,0,0,090,BERA,Pahang,0,0,F,0,BN
469,2022,ABBAS SALLEH,PH,PKR,0,0,090,BERA,Pahang,0,0,F,0,PH
470,2022,ROZI MAMAT,BN,UMNO,0,0,038,HULU TERENGGANU,Terengganu,0,0,F,0,BN
471,2022,MOHD KHADRI ABDULLAH,GTA,PUTRA,0,0,038,HULU TERENGGANU,Terengganu,0,0,F,0,PUTRA
472,2022,ROSOL WAHID,PN,BERSATU,0,0,038,HULU TERENGGANU,Terengganu,0,0,F,0,PN
473,2022,ALIAS ISMAIL,PH,PKR,0,0,038,HULU TERENGGANU,Terengganu,0,0,F,0,PH
474,2022,AMINOLHUDA HASSAN,PH,AMANAH,0,0,149,SRI GADING,Johor,0,0,F,0,PH
475,2022,ZANARIYAH ABDUL HAMID,PN,PAS,0,0,149,SRI GADING,Johor,0,0,M,0,PAS
476,2022,MOHD LASSIM BURHAN,BN,UMNO,0,0,149,SRI GADING,Johor,0,0,F,0,BN
477,2022,MAHDZIR IBRAHIM,GTA,PEJUANG,0,0,149,SRI GADING,Johor,0,0,F,0,PEJUANG
478,2022,CHE MOHAMAD ZULKIFLY JUSOH,PN,PAS,0,0,033,BESUT,Terengganu,0,0,F,0,PAS
479,2022,WAN NAZARI WAN JUSOH,GTA,PEJUANG,0,0,033,BESUT,Terengganu,0,0,F,0,PEJUANG
480,2022,ABD RAHMAN @ ABD AZIZ ABAS,PH,AMANAH,0,0,033,BESUT,Terengganu,0,0,F,0,PH
481,2022,NAWI MOHAMAD,BN,UMNO,0,0,033,BESUT,Terengganu,0,0,F,0,BN
482,2022,MOHAMAD NUHAIRI RAHMAT,GTA,PEJUANG,0,0,009,ALOR SETAR,Kedah,0,0,F,0,PEJUANG
483,2022,AFNAN HAMIMI TAIB AZAMUDDIN,PN,PAS,0,0,009,ALOR SETAR,Kedah,0,0,F,0,PAS
484,2022,FADZIL HANAFI,,WARISAN,0,0,009,ALOR SETAR,Kedah,0,0,F,0,WARISAN
485,2022,SIMON OOI TZE MIN,PH,PKR,0,0,009,ALOR SETAR,Kedah,0,0,F,0,PH
486,2022,NORDIN YUNUS,,IND,0,0,009,ALOR SETAR,Kedah,0,0,F,0,BEBAS
487,2022,SOFAN FEROZA,,IND,0,0,009,ALOR SETAR,Kedah,0,0,F,0,BEBAS
488,2022,TAN CHEE HIONG,BN,MCA,0,0,009,ALOR SETAR,Kedah,0,0,F,0,BN
489,2022,KHAIRUL ANUAR AHMAD,,WARISAN,0,0,014,MERBOK,Kedah,0,0,F,0,WARISAN
490,2022,SHAIFUL HAZIZY ZAINOL ABIDIN,BN,UMNO,0,0,014,MERBOK,Kedah,0,0,F,0,BN
491,2022,NOR AZRINA SURIP,PH,PKR,0,0,014,MERBOK,Kedah,0,0,M,0,PH
492,2022,MOHD NAZRI ABU HASSAN,PN,BERSATU,0,0,014,MERBOK,Kedah,0,0,F,0,PN
493,2022,MOHAMED MOSIN ABDUL RAZAK,GTA,IMAN,0,0,014,MERBOK,Kedah,0,0,F,0,GTA
494,2022,NORAINI AHMAD,BN,UMNO,0,0,147,PARIT SULONG,Johor,0,0,M,0,BN
495,2022,ABDUL KARIM DERAMAN,PN,PAS,0,0,147,PARIT SULONG,Johor,0,0,F,0,PAS
496,2022,MOHD FAIZAL DOLAH,PH,AMANAH,0,0,147,PARIT SULONG,Johor,0,0,F,0,PH
497,2022,NOOR AZLEEN AMBROS,BN,UMNO,0,0,159,PASIR GUDANG,Johor,0,0,F,0,BN
498,2022,HASSAN ABDUL KARIM,PH,PKR,0,0,159,PASIR GUDANG,Johor,0,0,F,0,PH
499,2022,MOHAMAD FARID ABDUL RAZAK,PN,BERSATU,0,0,159,PASIR GUDANG,Johor,0,0,F,0,PN
500,2022,MOHAMMAD RAFI BERAN,GTA,IMAN,0,0,159,PASIR GUDANG,Johor,0,0,F,0,GTA
501,2022,GAN PING SIEU,BN,MCA,0,0,152,KLUANG,Johor,0,0,F,0,BN
502,2022,WONG SHU QI,PH,DAP,0,0,152,KLUANG,Johor,0,0,M,0,DAP
503,2022,U RAMENDRAN,,IND,0,0,152,KLUANG,Johor,0,0,F,0,BEBAS
504,2022,DZULKARNAIN ALIAS,PN,BERSATU,0,0,152,KLUANG,Johor,0,0,F,0,PN
505,2022,HAMIZI HUSSAIN,,IND,0,0,091,ROMPIN,Pahang,0,0,F,0,BEBAS
506,2022,HASAN ARIFIN,BN,UMNO,0,0,091,ROMPIN,Pahang,0,0,F,0,BN
507,2022,ABDUL KHALIB ABDULLAH,PN,BERSATU,0,0,091,ROMPIN,Pahang,0,0,F,0,PN
508,2022,ERMAN SHAH JAIOS,PH,PKR,0,0,091,ROMPIN,Pahang,0,0,F,0,PH
509,2022,MOHAMAD SHAHRUM OSMAN,PN,BERSATU,0,0,079,LIPIS,Pahang,0,0,F,0,PN
510,2022,AISHATON ABU BAKAR,GTA,PEJUANG,0,0,079,LIPIS,Pahang,0,0,M,0,PEJUANG
511,2022,TENGKU ZULPURI SHAH RAJA PUJI,PH,DAP,0,0,079,LIPIS,Pahang,0,0,F,0,DAP
512,2022,ABDUL RAHMAN MOHAMAD,BN,UMNO,0,0,079,LIPIS,Pahang,0,0,F,0,BN
513,2022,AZMAN ISMAIL,PH,PKR,0,0,010,KUALA KEDAH,Kedah,0,0,F,0,PH
514,2022,SYED ARANIRI SYED AHMAD,,WARISAN,0,0,010,KUALA KEDAH,Kedah,0,0,F,0,WARISAN
515,2022,ULYA AQAMAH HUSAMUDIN,GTA,PEJUANG,0,0,010,KUALA KEDAH,Kedah,0,0,F,0,PEJUANG
516,2022,AHMAD FAKHRUDDIN FAKHRURAZI,PN,PAS,0,0,010,KUALA KEDAH,Kedah,0,0,F,0,PAS
517,2022,MASHITAH IBRAHIM,BN,UMNO,0,0,010,KUALA KEDAH,Kedah,0,0,M,0,BN
518,2022,HISHAMMUDDIN HUSSEIN,BN,UMNO,0,0,153,SEMBRONG,Johor,0,0,F,0,BN
519,2022,HASNI ABAS,PH,PKR,0,0,153,SEMBRONG,Johor,0,0,F,0,PH
520,2022,AZIZ ISMAIL,PN,BERSATU,0,0,153,SEMBRONG,Johor,0,0,F,0,PN
521,2022,ABD GHANI AHMAD,PN,PAS,0,0,005,JERLUN,Kedah,0,0,F,0,PAS
522,2022,MUKHRIZ MAHATHIR,GTA,PEJUANG,0,0,005,JERLUN,Kedah,0,0,F,0,PEJUANG
523,2022,FADZIL ALI MOHD ALI,PH,PKR,0,0,005,JERLUN,Kedah,0,0,F,0,PH
524,2022,OTHMAN AZIZ,BN,UMNO,0,0,005,JERLUN,Kedah,0,0,F,0,BN
525,2022,ASYRAF WAJDI DUSUKI,BN,UMNO,0,0,054,GERIK,Perak,0,0,F,0,BN
526,2022,FATHUL HUZIR AYOB,PN,BERSATU,0,0,054,GERIK,Perak,0,0,F,0,PN
527,2022,AHMAD TARMIZI MOHD JAM,PH,DAP,0,0,054,GERIK,Perak,0,0,F,0,DAP
528,2022,ANWAR IBRAHIM,PH,PKR,0,0,063,TAMBUN,Perak,0,0,F,0,PH
529,2022,AMINUDDIN MD HANAFIAH,BN,UMNO,0,0,063,TAMBUN,Perak,0,0,F,0,BN
530,2022,ABDUL RAHIM TAHIR,GTA,PEJUANG,0,0,063,TAMBUN,Perak,0,0,F,0,PEJUANG
531,2022,AHMAD FAIZAL AZUMU,PN,BERSATU,0,0,063,TAMBUN,Perak,0,0,F,0,PN
532,2022,RSN RAYER,PH,DAP,0,0,050,JELUTONG,Penang,0,0,F,0,DAP
533,2022,BALJIT SINGH JIGIRI,PN,GERAKAN,0,0,050,JELUTONG,Penang,0,0,F,0,PN
534,2022,KOH SWE YONG,,PRM,0,0,050,JELUTONG,Penang,0,0,F,0,PRM
535,2022,YACOOB NOOR,,IND,0,0,050,JELUTONG,Penang,0,0,F,0,BEBAS
536,2022,LOGANATHAN THORAISAMY,BN,IPF,0,0,050,JELUTONG,Penang,0,0,F,0,BN
537,2022,LIM HUAT POH,,WARISAN,0,0,050,JELUTONG,Penang,0,0,F,0,WARISAN
538,2022,RAHIMI MUHAMAD,PH,PKR,0,0,026,KETEREH,Kelantan,0,0,F,0,PH
539,2022,MARZUANI ARDILA ARIFFIN,BN,UMNO,0,0,026,KETEREH,Kelantan,0,0,M,0,BN
540,2022,KHLIR MOHD NOR,PN,PAS,0,0,026,KETEREH,Kelantan,0,0,F,0,PAS
