,parliament_type,state,seat_name,seat_id,parliament_code,name,party
120,states,PERAK,BUKIT CHANDAN,06734,N.34,AMIR SABRI,PAKATAN HARAPAN (PH)
121,states,PERAK,MANONG,06735,N.35,JAMSARI MAHAMOOD,PAKATAN HARAPAN (PH)
122,states,PERAK,MANONG,06735,N.35,MUSTAFA SHAH,BARISAN NASIONAL (BN)
123,states,PERAK,MANONG,06735,N.35,BERHANUDIN AHMAD,PERIKATAN NASIONAL (PN)
124,states,PERAK,PENGKALAN BAHARU,06836,N.36,AHMAD FAISAL BIN HAJI MANSOR,PERIKATAN NASIONAL (PN)
125,states,PERAK,PENGKALAN BAHARU,06836,N.36,CIKGU HALIM,PARTI PEJUANG TANAHAIR (PEJUANG)
126,states,PERAK,PENGKALAN BAHARU,06836,N.36,CIKGU MAN,BARISAN NASIONAL (BN)
127,states,PERAK,PENGKALAN BAHARU,06836,N.36,JAIS ASHFAQ,PAKATAN HARAPAN (PH)
128,states,PERAK,PANTAI REMIS,06837,N.37,WONG MAY ING,PAKATAN HARAPAN (PH)
129,states,PERAK,PANTAI REMIS,06837,N.37,ALBERT LOOI,BARISAN NASIONAL (BN)
130,states,PERAK,PANTAI REMIS,06837,N.37,EEE CHIN OON,PERIKATAN NASIONAL (PN)
131,states,PERAK,ASTAKA,06838,N.38,AH YONG ( IAN ),PERIKATAN NASIONAL (PN)
132,states,PERAK,ASTAKA,06838,N.38,JASON NG THIEN YEONG,PAKATAN HARAPAN (PH)
133,states,PERAK,ASTAKA,06838,N.38,DR CHIENG LEE CHONG,BARISAN NASIONAL (BN)
134,states,PERAK,BELANJA,06939,N.39,CIKGU DIN,BARISAN NASIONAL (BN)
135,states,PERAK,BELANJA,06939,N.39,USTAZ SHAHARUZZAMAN,PARTI PEJUANG TANAHAIR (PEJUANG)
136,states,PERAK,BELANJA,06939,N.39,MEOR NAQIUDDIN,PERIKATAN NASIONAL (PN)
137,states,PERAK,BELANJA,06939,N.39,HISHAMUDDIN ABDULLAH,PAKATAN HARAPAN (PH)
138,states,PERAK,BOTA,06940,N.40,DR.NAJIHA,PERIKATAN NASIONAL (PN)
139,states,PERAK,BOTA,06940,N.40,KAPT. HJ. USAILI BIN ALIAS (B),PAKATAN HARAPAN (PH)
140,states,PERAK,BOTA,06940,N.40,SHAHRIL HARAHAB,PARTI PEJUANG TANAHAIR (PEJUANG)
141,states,PERAK,BOTA,06940,N.40,KHAIRUL SHAHRIL BIN MOHAMED,BARISAN NASIONAL (BN)
142,states,PERAK,MALIM NAWAR,07041,N.41,SHERRY SYED,PERIKATAN NASIONAL (PN)
143,states,PERAK,MALIM NAWAR,07041,N.41,LEONG CHEOK KENG,PARTI WARISAN SABAH (WARISAN)
144,states,PERAK,MALIM NAWAR,07041,N.41,IR. CHIN WOON KHEONG,BARISAN NASIONAL (BN)
145,states,PERAK,MALIM NAWAR,07041,N.41,SHASHA,PAKATAN HARAPAN (PH)
146,states,PERAK,KERANJI,07042,N.42,ANGELINE KOO HAAI YEN,PAKATAN HARAPAN (PH)
147,states,PERAK,KERANJI,07042,N.42,FOONG KAR SING,PERIKATAN NASIONAL (PN)
